IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2017,true,,,,,,,,,,,,,0.007,,,,,,0.007,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,BDI,Burundi,Year,2017,true,,,,,,,,,,,,,0.01,,,,,,0.01,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2017,true,,,,,,,,,,,,,0.014,,,,,,0.014,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2017,true,,,,,,,,,,,,,0.062,,,,,,0.062,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,EUR,Europe,Country,MKD,The former Yugoslav Republic of Macedonia,Year,2017,true,,,,,,,,,,,,,0.096,,,,,,0.096,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,EUR,Europe,Country,SRB,Serbia,Year,2017,true,,,,,,,,,,,,,0.14,,,,,,0.14,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,BWA,Botswana,Year,2017,true,,,,,,,,,,,,,0.27,,,,,,0.27,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AMR,Americas,Country,CAN,Canada,Year,2017,true,,,,,,,,,,,,,0.33,,,,,,0.33,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2017,true,,,,,,,,,,,,,0.34,,,,,,0.34,,,EN,2019-04-25T04:00:00.000Z
MH_10,"Mental health outpatient facilities (per 100,000)",numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2017,true,,,,,,,,,,,,,0.66,,,,,,0.66,,,EN,2019-04-25T04:00:00.000Z
