IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2017,true,,,,,,,,,,,,,0.003,,,,,,0.003,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,AFR,Africa,Country,BDI,Burundi,Year,2017,true,,,,,,,,,,,,,0.029,,,,,,0.029,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,AFR,Africa,Country,BWA,Botswana,Year,2017,true,,,,,,,,,,,,,0.045,,,,,,0.045,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2017,true,,,,,,,,,,,,,0.074,,,,,,0.074,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2017,true,,,,,,,,,,,,,0.13,,,,,,0.13,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2017,true,,,,,,,,,,,,,0.28,,,,,,0.28,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,EUR,Europe,Country,SRB,Serbia,Year,2017,true,,,,,,,,,,,,,0.44,,,,,,0.44,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2017,true,,,,,,,,,,,,,0.73,,,,,,0.73,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,AMR,Americas,Country,KNA,Saint Kitts and Nevis,Year,2017,true,,,,,,,,,,,,,1.84,,,,,,1.84,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2017,true,,,,,,,,,,,,,1.89,,,,,,1.89,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2017,true,,,,,,,,,,,,,2.15,,,,,,2.15,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2017,true,,,,,,,,,,,,,35.63,,,,,,35.63,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,WPR,Western Pacific,Country,NIU,Niue,Year,2017,true,,,,,,,,,,,,,61.39,,,,,,61.39,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2016,true,,,,,,,,,,,,,0.002,,,,,,0.002,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,AFR,Africa,Country,MDG,Madagascar,Year,2016,true,,,,,,,,,,,,,0.004,,,,,,0.004,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2016,true,,,,,,,,,,,,,0.006,,,,,,0.006,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2016,true,,,,,,,,,,,,,0.007,,,,,,0.007,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2016,true,,,,,,,,,,,,,0.011,,,,,,0.011,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,AMR,Americas,Country,PRY,Paraguay,Year,2016,true,,,,,,,,,,,,,0.015,,,,,,0.015,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,AMR,Americas,Country,PER,Peru,Year,2016,true,,,,,,,,,,,,,0.016,,,,,,0.016,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,AFR,Africa,Country,GHA,Ghana,Year,2016,true,,,,,,,,,,,,,0.018,,,,,,0.018,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2016,true,,,,,,,,,,,,,0.019,,,,,,0.019,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,AFR,Africa,Country,NER,Niger,Year,2016,true,,,,,,,,,,,,,0.019,,,,,,0.019,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,EUR,Europe,Country,HUN,Hungary,Year,2016,true,,,,,,,,,,,,,0.02,,,,,,0.02,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2016,true,,,,,,,,,,,,,0.021,,,,,,0.021,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,AFR,Africa,Country,CIV,Côte d’Ivoire,Year,2016,true,,,,,,,,,,,,,0.022,,,,,,0.022,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,SEAR,South-East Asia,Country,IND,India,Year,2016,true,,,,,,,,,,,,,0.023,,,,,,0.023,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,AMR,Americas,Country,PAN,Panama,Year,2016,true,,,,,,,,,,,,,0.025,,,,,,0.025,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,EUR,Europe,Country,ARM,Armenia,Year,2016,true,,,,,,,,,,,,,0.034,,,,,,0.034,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2016,true,,,,,,,,,,,,,0.051,,,,,,0.051,,,EN,2019-04-25T04:00:00.000Z
MH_11,"Mental health day treatment facilities (per 100,000)",numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2016,true,,,,,,,,,,,,,0.052,,,,,,0.052,,,EN,2019-04-25T04:00:00.000Z
