IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AMR,Americas,Country,NIC,Nicaragua,Year,2017,true,,,,,,,,,,,,,0.016,,,,,,0.016,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2017,true,,,,,,,,,,,,,0.022,,,,,,0.022,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2017,true,,,,,,,,,,,,,0.052,,,,,,0.052,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2017,true,,,,,,,,,,,,,0.061,,,,,,0.061,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,MUS,Mauritius,Year,2017,true,,,,,,,,,,,,,0.079,,,,,,0.079,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,COM,Comoros,Year,2017,true,,,,,,,,,,,,,0.13,,,,,,0.13,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2017,true,,,,,,,,,,,,,0.15,,,,,,0.15,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2017,true,,,,,,,,,,,,,0.2,,,,,,0.2,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,BWA,Botswana,Year,2017,true,,,,,,,,,,,,,0.23,,,,,,0.23,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2017,true,,,,,,,,,,,,,0.24,,,,,,0.24,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2017,true,,,,,,,,,,,,,0.38,,,,,,0.38,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AMR,Americas,Country,CAN,Canada,Year,2017,true,,,,,,,,,,,,,0.4,,,,,,0.4,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,EUR,Europe,Country,SRB,Serbia,Year,2017,true,,,,,,,,,,,,,0.41,,,,,,0.41,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2017,true,,,,,,,,,,,,,0.56,,,,,,0.56,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,EUR,Europe,Country,MKD,The former Yugoslav Republic of Macedonia,Year,2017,true,,,,,,,,,,,,,0.72,,,,,,0.72,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,EUR,Europe,Country,FIN,Finland,Year,2017,true,,,,,,,,,,,,,0.75,,,,,,0.75,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AMR,Americas,Country,KNA,Saint Kitts and Nevis,Year,2017,true,,,,,,,,,,,,,3.68,,,,,,3.68,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,WPR,Western Pacific,Country,KHM,Cambodia,Year,2016,true,,,,,,,,,,,,,0.006,,,,,,0.006,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AMR,Americas,Country,GTM,Guatemala,Year,2016,true,,,,,,,,,,,,,0.006,,,,,,0.006,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,MLI,Mali,Year,2016,true,,,,,,,,,,,,,0.006,,,,,,0.006,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AMR,Americas,Country,MEX,Mexico,Year,2016,true,,,,,,,,,,,,,0.006,,,,,,0.006,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,TCD,Chad,Year,2016,true,,,,,,,,,,,,,0.007,,,,,,0.007,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,GIN,Guinea,Year,2016,true,,,,,,,,,,,,,0.008,,,,,,0.008,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,SSD,South Sudan,Year,2016,true,,,,,,,,,,,,,0.008,,,,,,0.008,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2016,true,,,,,,,,,,,,,0.009,,,,,,0.009,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AMR,Americas,Country,HTI,Haiti,Year,2016,true,,,,,,,,,,,,,0.009,,,,,,0.009,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2016,true,,,,,,,,,,,,,0.012,,,,,,0.012,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,CIV,Côte d’Ivoire,Year,2016,true,,,,,,,,,,,,,0.013,,,,,,0.013,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2016,true,,,,,,,,,,,,,0.013,,,,,,0.013,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,EUR,Europe,Country,UZB,Uzbekistan,Year,2016,true,,,,,,,,,,,,,0.013,,,,,,0.013,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2016,true,,,,,,,,,,,,,0.016,,,,,,0.016,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2016,true,,,,,,,,,,,,,0.017,,,,,,0.017,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2016,true,,,,,,,,,,,,,0.021,,,,,,0.021,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2016,true,,,,,,,,,,,,,0.025,,,,,,0.025,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2016,true,,,,,,,,,,,,,0.026,,,,,,0.026,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,SEN,Senegal,Year,2016,true,,,,,,,,,,,,,0.027,,,,,,0.027,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,SEAR,South-East Asia,Country,IND,India,Year,2016,true,,,,,,,,,,,,,0.03,,,,,,0.03,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AMR,Americas,Country,PRY,Paraguay,Year,2016,true,,,,,,,,,,,,,0.03,,,,,,0.03,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,KEN,Kenya,Year,2016,true,,,,,,,,,,,,,0.032,,,,,,0.032,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,UGA,Uganda,Year,2016,true,,,,,,,,,,,,,0.032,,,,,,0.032,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2016,true,,,,,,,,,,,,,0.033,,,,,,0.033,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,NER,Niger,Year,2016,true,,,,,,,,,,,,,0.033,,,,,,0.033,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2016,true,,,,,,,,,,,,,0.035,,,,,,0.035,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2016,true,,,,,,,,,,,,,0.038,,,,,,0.038,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2016,true,,,,,,,,,,,,,0.039,,,,,,0.039,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,COG,Congo,Year,2016,true,,,,,,,,,,,,,0.04,,,,,,0.04,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AMR,Americas,Country,CRI,Costa Rica,Year,2016,true,,,,,,,,,,,,,0.042,,,,,,0.042,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2016,true,,,,,,,,,,,,,0.042,,,,,,0.042,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,MDG,Madagascar,Year,2016,true,,,,,,,,,,,,,0.045,,,,,,0.045,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,EUR,Europe,Country,SVN,Slovenia,Year,2016,true,,,,,,,,,,,,,0.048,,,,,,0.048,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,EUR,Europe,Country,UKR,Ukraine,Year,2016,true,,,,,,,,,,,,,0.052,,,,,,0.052,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2016,true,,,,,,,,,,,,,0.055,,,,,,0.055,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AMR,Americas,Country,PER,Peru,Year,2016,true,,,,,,,,,,,,,0.057,,,,,,0.057,,,EN,2019-04-25T04:00:00.000Z
MH_18,"Mental health units in general hospitals (per 100,000)",numeric,AFR,Africa,Country,ZMB,Zambia,Year,2016,true,,,,,,,,,,,,,0.062,,,,,,0.062,,,EN,2019-04-25T04:00:00.000Z
