Label,Vulnerability Name,Package Name,Package Version,Type,Publish Date
,,,,,
M,Prototype Pollution,@viking04/merge,&lt;1.0.2,npm,"1,Sep,2021"
H,Denial of Service (DoS),rencode,"[0,]",pip,"1,Sep,2021"
H,Denial of Service (DoS),io.netty:netty-codec,"[,4.1.68.Final)",Maven,"1,Sep,2021"
H,Denial of Service (DoS),io.netty:netty-codec,"[,4.1.68.Final)",Maven,"1,Sep,2021"
H,Denial of Service (DoS),github.com/pomerium/pomerium,"&gt;&#x3D;0.15.0 &lt;0.15.1,&lt;0.14.8",Go,"1,Sep,2021"
H,Denial of Service (DoS),github.com/pomerium/pomerium,&lt;0.15.1,Go,"1,Sep,2021"
H,Access Restriction Bypass,github.com/pomerium/pomerium,"&gt;&#x3D;0.15.0 &lt;0.15.1,&lt;0.14.8",Go,"1,Sep,2021"
M,Denial of Service (DoS),github.com/katzenpost/noise,&lt;0.0.3,Go,"0,Sep,2021"
M,Denial of Service (DoS),github.com/flynn/noise,&lt;1.0.0,Go,"0,Sep,2021"
M,Denial of Service (DoS),neutron,"[,16.4.1),[17.0.0,17.2.1),[18.0.0,18.1.1)",pip,"0,Sep,2021"
H,Integer Overflow or Wraparound,github.com/katzenpost/noise,&lt;0.0.3,Go,"0,Sep,2021"
H,Integer Overflow or Wraparound,github.com/flynn/noise,&lt;1.0.0,Go,"0,Sep,2021"
M,Access Restriction Bypass,mediabrowser.server.core,"[0,]",NuGet,"0,Sep,2021"
M,Arbitrary File Upload,showdoc/showdoc,&lt;2.9.6,Composer,"0,Sep,2021"
M,Cross-site Scripting (XSS),librenms/librenms,&lt;21.4.0,Composer,"0,Sep,2021"
M,Open Redirect,flask-appbuilder,"[,3.3.2)",pip,"0,Sep,2021"
H,Remote Code Execution (RCE),github.com/george518/ppgo_job/controllers,*,Go,"0,Sep,2021"
H,Privilege Escalation,com.linecorp.centraldogma:centraldogma-server,"[,0.52.0)",Maven,"0,Sep,2021"
H,Privilege Escalation,salt,"[,3001.8),[3002rc1, 3002.7),[3003rc1,3003.3)",pip,"0,Sep,2021"
M,Privilege Escalation,salt,"[,3001.8),[3002rc1, 3002.7),[3003rc1,3003.3)",pip,"0,Sep,2021"
C,Arbitrary File Upload,net.mingsoft:ms-mcms,"[0,]",Maven,"0,Sep,2021"
C,HTTP Header Injection,org.sonatype.nexus:nexus-repository,"[,3.34.0-01)",Maven,"0,Sep,2021"
H,Regular Expression Denial of Service (ReDoS),flask-restx,"[,0.5.1)",pip,"0,Sep,2021"
C,Remote Code Execution (RCE),org.apache.dubbo:dubbo-common,"[,2.7.13)",Maven,"0,Sep,2021"
M,Deserialization of Untrusted Data,org.apache.dubbo:dubbo-common,"[,2.7.13),[3.0.0,3.0.2)",Maven,"0,Sep,2021"
H,Denial of Service (DoS),ansible,"[0,]",pip,"0,Sep,2021"
M,Information Exposure,ansible,"[0,]",pip,"0,Sep,2021"
H,Unsafe Dependency Resolution,parse-server,"&gt;&#x3D;4.6.0 &lt;4.10.0,&gt;&#x3D;4.0.3 &lt;4.1.0,&gt;&#x3D;4.0.0-beta1 &lt;4.0.2",npm,"0,Sep,2021"
C,Cross-site Scripting (XSS),remark-html,"&gt;&#x3D;14.0.0 &lt;14.0.1,&lt;13.0.2",npm,"0,Sep,2021"
C,Cross-site Scripting (XSS),org.webjars.npm:remark-html,"[0,]",Maven,"0,Sep,2021"
,,,,,
M,Remote Code Execution (RCE),microsoft.chakracore,"[,1.111.7)",NuGet,"1,Mar,2020"
M,Remote Code Execution (RCE),microsoft.chakracore,"[,1.111.7)",NuGet,"1,Mar,2020"
M,Remote Code Execution (RCE),microsoft.chakracore,"[, 1.111.7)",NuGet,"1,Mar,2020"
M,Information Exposure,microsoft.chakracore,"[, 1.111.7)",NuGet,"1,Mar,2020"
M,Remote Code Execution (RCE),microsoft.chakracore,"[, 1.111.7)",NuGet,"1,Mar,2020"
M,Remote Code Execution (RCE),microsoft.chakracore,"[,1.111.7)",NuGet,"1,Mar,2020"
M,Remote Code Execution (RCE),microsoft.chakracore,"[,1.111.7)",NuGet,"1,Mar,2020"
M,Remote Code Execution (RCE),microsoft.chakracore,"[,1.111.7)",NuGet,"1,Mar,2020"
M,Remote Code Execution (RCE),microsoft.chakracore,"[,1.111.7)",NuGet,"1,Mar,2020"
M,Remote Code Execution (RCE),microsoft.chakracore,"[,1.111.7)",NuGet,"1,Mar,2020"
M,Remote Code Execution (RCE),microsoft.chakracore,"[,1.111.7)",NuGet,"1,Mar,2020"
M,Remote Code Execution (RCE),microsoft.chakracore,"[,1.111.7)",NuGet,"1,Mar,2020"
H,Improper Access Control,manila,"[,7.4.1),[8.0.0,8.1.1),[9.0.0,9.1.1)",pip,"1,Mar,2020"
C,Remote Code Execution (RCE),bcosca/fatfree,&lt;3.7.2,Composer,"1,Mar,2020"
M,Prototype Pollution,dojox,"&lt;1.12.8,&gt;&#x3D;1.13.0 &lt;1.13.7,&gt;&#x3D;1.14.0 &lt;1.14.6,&gt;&#x3D;1.15.0 &lt;1.15.3,&gt;&#x3D;1.16.0 &lt;1.16.2",npm,"1,Mar,2020"
M,Prototype Pollution,org.webjars.npm:dojox,"[,1.16.2)",Maven,"1,Mar,2020"
M,Prototype Pollution,org.webjars.bowergithub.dojo:dojox,"[0,]",Maven,"1,Mar,2020"
M,Prototype Pollution,org.webjars.bower:dojox,"[0,]",Maven,"1,Mar,2020"
M,Prototype Pollution,minimist,"&lt;0.2.1,&gt;&#x3D;1.0.0 &lt;1.2.3",npm,"1,Mar,2020"
M,Prototype Pollution,org.webjars.npm:minimist,"[,1.2.4)",Maven,"1,Mar,2020"
H,XML External Entity (XXE) Injection,org.jenkins-ci.plugins:cobertura,"[,1.16)",Maven,"1,Mar,2020"
M,Cross-site Scripting (XSS),org.jenkins-ci.plugins:git,"[,4.2.1)",Maven,"1,Mar,2020"
M,Cross-site Scripting (XSS),org.jenkins-ci.plugins:audit-trail,"[,3.3)",Maven,"1,Mar,2020"
M,Cross-site Scripting (XSS),org.jenkins-ci.plugins:timestamper,"[,1.11.2)",Maven,"1,Mar,2020"
