year,country,rehabilitation_count,mental_health_allocation,mental_health_prescription_count
2017,Nicaragua,36,0.18,9
2017,Central African Republic,49,0.44,1
2017,Ethiopia,9,0.08,0
2017,Iraq,34,0.05,1
2017,Mauritius,44,0.21,8
2017,Comoros,28,0.27,3
2017,Sri Lanka,21,0.03,7
2017,Iran (Islamic Republic of),20,0.41,7
2017,Botswana,45,0.12,9
2017,Maldives,48,0.21,4
2017,Eswatini,21,0.40,2
2017,Canada,38,0.28,5
2017,Serbia,25,0.04,6
2017,Cabo Verde,19,0.15,9
2017,The former Yugoslav Republic of Macedonia,17,0.48,4
2017,Finland,28,0.42,9
2017,Saint Kitts and Nevis,9,0.46,6
2016,Cambodia,26,0.17,9
2016,Guatemala,9,0.36,0
2016,Mali,33,0.13,9
2016,Mexico,43,0.06,9
2016,Chad,22,0.31,4
2016,Guinea,31,0.14,3
2016,South Sudan,38,0.01,7
2016,Bolivia (Plurinational State of),21,0.15,9
2016,Haiti,48,0.29,7
2016,Afghanistan,40,0.02,6
2016,Côte d’Ivoire,20,0.14,2
2016,Saudi Arabia,17,0.38,8
2016,Uzbekistan,22,0.13,2
2016,Syrian Arab Republic,32,0.30,4
2016,Viet Nam,11,0.27,2
2016,Azerbaijan,35,0.04,0
2016,Zimbabwe,37,0.24,0
2016,Yemen,35,0.35,7
2016,Senegal,32,0.09,6
2016,India,37,0.01,7
2016,Paraguay,46,0.05,9
2016,Kenya,40,0.32,9
2016,Uganda,14,0.08,2
2016,Jordan,29,0.15,7
2016,Niger,26,0.17,0
2016,Bangladesh,16,0.38,3
2016,Qatar,9,0.18,6
2016,Mozambique,48,0.23,5
2016,Congo,35,0.06,6
2016,Costa Rica,36,0.18,4
2016,Myanmar,29,0.36,8
2016,Madagascar,13,0.01,4
2016,Slovenia,49,0.23,1
2016,Ukraine,37,0.39,4
2016,United Arab Emirates,41,0.25,8
2016,Peru,12,0.50,4
2016,Zambia,15,0.19,4
2016,Belarus,46,0.44,8
2016,Nepal,23,0.37,1
2016,Liberia,20,0.41,4
2016,Albania,10,0.29,0
2016,Algeria,14,0.04,8
2016,Armenia,34,0.43,5
2016,Singapore,16,0.29,1
2016,South Africa,22,0.34,9
2016,Dominican Republic,38,0.02,8
2016,Georgia,23,0.05,1
2016,Morocco,38,0.38,1
2016,Timor-Leste,21,0.49,7
2016,Namibia,28,0.00,5
2016,Philippines,16,0.10,7
2016,Indonesia,38,0.25,6
2016,Brazil,43,0.16,7
2016,Togo,19,0.24,2
2016,Bhutan,36,0.04,1
2016,Guyana,19,0.12,2
2016,Tajikistan,29,0.41,3
2016,Israel,46,0.41,5
2016,Kyrgyzstan,39,0.29,2
2016,Cuba,10,0.49,0
2016,Malaysia,30,0.04,2
2016,Thailand,1,0.24,8
2016,Chile,29,0.42,8
2016,Ecuador,0,0.38,1
2016,Eritrea,12,0.16,5
2016,Colombia,26,0.27,6
2016,El Salvador,21,0.10,1
2016,Poland,11,0.30,9
2016,Panama,49,0.28,9
2016,Burkina Faso,20,0.41,2
2016,Portugal,47,0.17,9
2016,Bulgaria,42,0.30,8
2016,Montenegro,8,0.08,4
2016,Greece,45,0.47,8
2016,Fiji,47,0.23,7
2016,United States of America,25,0.12,0
2016,Republic of Korea,43,0.15,7
2016,Romania,19,0.10,0
2016,Rwanda,9,0.14,3
2016,Pakistan,17,0.43,9
2016,Japan,49,0.11,0
2016,Turkey,26,0.47,1
2016,Mongolia,8,0.04,0
2016,Brunei Darussalam,1,0.16,5
2016,Norway,24,0.41,6
2016,Sao Tome and Principe,19,0.30,8
2016,Croatia,31,0.02,0
2016,Samoa,20,0.06,5
2016,New Zealand,19,0.47,9
2016,Ireland,43,0.24,5
2016,Estonia,9,0.25,2
2016,Lithuania,31,0.41,0
2016,Uruguay,27,0.24,9
2016,Vanuatu,6,0.16,3
2016,Grenada,16,0.44,2
2016,Tonga,0,0.43,0
2016,Argentina,33,0.02,8
2016,Ghana,32,0.23,6
2016,Belize,33,0.45,2
2016,Monaco,30,0.40,5
2016,Hungary,18,0.22,3
2016,Iceland,35,0.49,2
2015,United Republic of Tanzania,15,0.01,9
2015,Jamaica,27,0.22,4
2015,Republic of Moldova,43,0.19,0
2015,Lebanon,49,0.31,5
2015,Latvia,44,0.36,2
2015,Cyprus,38,0.36,3
2015,Switzerland,46,0.36,5
2015,Bahamas,38,0.15,8
2015,Austria,6,0.36,5
2015,Czechia,38,0.08,7
2015,Barbados,10,0.27,8
2015,Germany,2,0.46,8
2015,Bosnia and Herzegovina,11,0.18,3
2015,Italy,22,0.41,9
2015,Australia,5,0.47,4
2015,Luxembourg,27,0.01,1
2015,Spain,25,0.27,5
2013,Mauritania,29,0.20,0
2013,Belgium,45,0.34,5
