year,country,closing_hour,non_drug_alc_count,drug_alc_count
2017,Iraq,16,0.20,0.33
2017,Burundi,18,0.17,0.27
2017,Botswana,18,0.06,0.13
2017,Trinidad and Tobago,18,0.12,0.25
2017,Sri Lanka,16,0.12,0.21
2017,Iran (Islamic Republic of),19,0.19,0.29
2017,Serbia,16,0.02,0.20
2017,Bahrain,21,0.03,0.09
2017,Saint Kitts and Nevis,21,0.10,0.39
2017,Marshall Islands,19,0.20,0.50
2017,Maldives,22,0.03,0.04
2017,Saint Vincent and the Grenadines,21,0.10,0.39
2017,Niue,17,0.17,0.46
2016,Philippines,20,0.05,0.34
2016,Madagascar,17,0.13,0.36
2016,Zimbabwe,23,0.17,0.45
2016,Thailand,20,0.01,0.23
2016,Egypt,23,0.20,0.33
2016,Paraguay,20,0.12,0.36
2016,Peru,23,0.16,0.34
2016,Ghana,18,0.12,0.24
2016,Dominican Republic,23,0.15,0.35
2016,Niger,16,0.00,0.22
2016,Hungary,20,0.11,0.27
2016,Mozambique,22,0.15,0.40
2016,Côte d’Ivoire,18,0.18,0.41
2016,India,17,0.10,0.25
2016,Panama,19,0.17,0.40
2016,Armenia,21,0.17,0.36
2016,Kyrgyzstan,22,0.17,0.32
2016,Uzbekistan,18,0.02,0.27
2016,Mexico,17,0.17,0.36
2016,Ireland,18,0.14,0.29
2016,Azerbaijan,19,0.04,0.28
2016,Georgia,20,0.05,0.35
2016,Morocco,23,0.10,0.21
2016,Fiji,20,0.17,0.29
2016,Qatar,19,0.16,0.17
2016,Costa Rica,21,0.18,0.42
2016,Republic of Korea,21,0.08,0.16
2016,Singapore,18,0.05,0.13
2016,Belarus,16,0.05,0.12
2016,Belize,19,0.09,0.13
2016,Romania,17,0.04,0.22
2016,Chile,18,0.02,0.20
2016,Cuba,22,0.15,0.26
2016,Portugal,16,0.11,0.28
2016,Samoa,23,0.09,0.37
2016,Uruguay,17,0.15,0.32
2016,Brunei Darussalam,18,0.15,0.34
2016,Poland,21,0.07,0.22
2016,Croatia,22,0.09,0.22
2016,Norway,16,0.19,0.45
2016,Seychelles,21,0.16,0.35
2016,Greece,16,0.19,0.42
2016,Ukraine,22,0.17,0.25
2016,Estonia,17,0.15,0.31
2016,Slovenia,23,0.13,0.25
2016,Ecuador,18,0.05,0.19
2016,Malaysia,19,0.18,0.26
2016,Japan,16,0.14,0.43
2016,Monaco,22,0.02,0.07
2016,Cook Islands,16,0.17,0.43
2016,Bulgaria,17,0.07,0.08
2015,Lebanon,21,0.14,0.24
2015,Jamaica,22,0.07,0.32
2015,Russian Federation,22,0.11,0.36
2015,Bahamas,19,0.14,0.34
2015,Cyprus,16,0.06,0.30
2015,Luxembourg,22,0.01,0.07
2015,Australia,16,0.08,0.25
2015,Italy,20,0.17,0.24
2015,Austria,19,0.11,0.22
2015,Latvia,18,0.10,0.19
