type,year,country,avg_stay,cost,unit_count
mental hospital,2017,Ethiopia,312,0,0.002
mental hospital,2017,Sri Lanka,249,14,0.005
mental hospital,2017,Iraq,290,35,0.006
mental hospital,2017,Somalia,173,4,0.007
mental hospital,2017,Tunisia,96,24,0.009
mental hospital,2017,Burundi,312,40,0.01
mental hospital,2017,Sierra Leone,78,4,0.014
mental hospital,2017,Nicaragua,286,24,0.016
mental hospital,2017,Iran (Islamic Republic of),45,8,0.049
mental hospital,2017,Canada,193,40,0.057
mental hospital,2017,Trinidad and Tobago,347,26,0.074
mental hospital,2017,Eswatini,281,17,0.076
mental hospital,2017,Mauritius,122,8,0.079
mental hospital,2017,Serbia,151,5,0.079
mental hospital,2017,Equatorial Guinea,242,0,0.085
mental hospital,2017,Botswana,197,1,0.091
mental hospital,2017,The former Yugoslav Republic of Macedonia,16,9,0.14
mental hospital,2017,Bahrain,287,14,0.15
mental hospital,2017,Saint Vincent and the Grenadines,214,40,0.91
mental hospital,2016,Tonga,271,31,0
mental hospital,2016,Bangladesh,229,44,0.001
mental hospital,2016,Philippines,294,49,0.001
mental hospital,2016,Kenya,175,0,0.002
mental hospital,2016,Uganda,37,3,0.002
mental hospital,2016,Afghanistan,122,21,0.003
mental hospital,2016,Myanmar,167,31,0.004
mental hospital,2016,Guatemala,57,20,0.006
mental hospital,2016,Pakistan,95,47,0.006
mental hospital,2016,Mozambique,88,2,0.007
mental hospital,2016,Senegal,184,3,0.007
mental hospital,2016,Côte d’Ivoire,254,35,0.009
mental hospital,2016,India,96,37,0.01
mental hospital,2016,Peru,209,24,0.01
mental hospital,2016,Angola,190,2,0.011
mental hospital,2016,Ghana,119,8,0.011
mental hospital,2016,United Arab Emirates,271,30,0.011
mental hospital,2016,Turkey,179,9,0.012
mental hospital,2016,Malaysia,226,5,0.013
mental hospital,2016,Togo,76,13,0.013
mental hospital,2016,Syrian Arab Republic,188,6,0.016
mental hospital,2016,Rwanda,77,38,0.017
mental hospital,2016,Singapore,256,20,0.018
mental hospital,2016,Egypt,102,15,0.019
mental hospital,2016,Haiti,154,37,0.019
mental hospital,2016,Indonesia,325,29,0.019
mental hospital,2016,Eritrea,218,32,0.021
mental hospital,2016,Madagascar,138,45,0.021
mental hospital,2016,Nepal,204,36,0.021
mental hospital,2016,Liberia,236,11,0.022
mental hospital,2016,Chile,352,24,0.023
mental hospital,2016,Ecuador,23,32,0.025
mental hospital,2016,Panama,351,38,0.025
mental hospital,2016,Zimbabwe,146,36,0.025
mental hospital,2016,Greece,309,45,0.027
mental hospital,2016,Thailand,100,41,0.028
mental hospital,2016,Mexico,273,18,0.029
mental hospital,2016,Portugal,188,34,0.029
mental hospital,2016,Paraguay,145,20,0.03
mental hospital,2016,El Salvador,323,39,0.032
mental hospital,2016,Libya,12,4,0.032
mental hospital,2016,Morocco,84,4,0.032
mental hospital,2016,Yemen,221,45,0.033
mental hospital,2016,Mongolia,338,16,0.034
mental hospital,2016,Tajikistan,105,3,0.035
mental hospital,2016,Qatar,17,38,0.038
mental hospital,2016,Costa Rica,326,38,0.042
mental hospital,2016,Viet Nam,327,12,0.043
mental hospital,2016,Algeria,287,31,0.048
mental hospital,2016,Gabon,176,28,0.052
mental hospital,2016,Jordan,177,14,0.055
mental hospital,2016,Guinea-Bissau,60,36,0.056
mental hospital,2016,Zambia,73,29,0.062
mental hospital,2016,Albania,129,21,0.068
mental hospital,2016,Brazil,197,43,0.069
mental hospital,2016,Bolivia (Plurinational State of),215,44,0.075
mental hospital,2016,Saudi Arabia,90,7,0.079
mental hospital,2016,Uzbekistan,64,26,0.081
mental hospital,2016,Kyrgyzstan,308,37,0.085
mental hospital,2016,Azerbaijan,336,48,0.11
mental hospital,2016,Fiji,112,41,0.11
mental hospital,2016,South Africa,151,34,0.12
mental hospital,2016,Guyana,313,18,0.13
mental hospital,2016,Poland,299,30,0.13
mental hospital,2016,Lithuania,341,42,0.14
mental hospital,2016,Ukraine,297,21,0.14
mental hospital,2016,Estonia,198,41,0.15
mental hospital,2016,Israel,94,38,0.16
mental hospital,2016,Bulgaria,150,39,0.17
mental hospital,2016,Croatia,140,0,0.17
mental hospital,2016,Cuba,230,27,0.17
mental hospital,2016,Romania,64,41,0.17
mental hospital,2016,United States of America,236,33,0.19
mental hospital,2016,Belarus,198,30,0.2
mental hospital,2016,Georgia,235,6,0.23
mental hospital,2016,Slovenia,33,35,0.24
mental hospital,2016,Iceland,123,13,0.3
mental hospital,2016,Montenegro,255,13,0.32
mental hospital,2016,Uruguay,114,4,0.32
mental hospital,2016,Republic of Korea,118,15,0.36
mental hospital,2016,Samoa,261,37,0.52
mental hospital,2016,Saint Lucia,42,5,0.56
mental hospital,2016,Norway,292,22,0.58
mental hospital,2016,Ireland,168,44,0.62
mental hospital,2016,Argentina,56,7,0.94
mental hospital,2016,Grenada,21,33,0.94
mental hospital,2016,Antigua and Barbuda,188,3,1
mental hospital,2016,Seychelles,167,39,1.07
mental hospital,2016,Colombia,78,21,1.99
mental hospital,2016,Japan,211,24,8.31
mental hospital,2015,United Republic of Tanzania,239,30,0.004
mental hospital,2015,Jamaica,297,19,0.035
mental hospital,2015,China,345,32,0.068
mental hospital,2015,Australia,326,18,0.071
mental hospital,2015,Republic of Moldova,76,12,0.074
mental hospital,2015,Bosnia and Herzegovina,297,13,0.085
mental hospital,2015,Lebanon,283,47,0.085
mental hospital,2015,Cyprus,237,4,0.086
mental hospital,2015,Austria,84,47,0.092
mental hospital,2015,Russian Federation,147,5,0.14
mental hospital,2015,Czechia,242,20,0.17
mental hospital,2015,Luxembourg,34,8,0.18
mental hospital,2015,Spain,144,20,0.18
mental hospital,2015,Netherlands,100,48,0.2
mental hospital,2015,Bahamas,335,8,0.26
mental hospital,2015,Latvia,279,46,0.3
