year,country,mental_health_allocation
2017,Somalia,0.60
2017,Burundi,0.97
2017,Sierra Leone,0.98
2017,Ethiopia,0.94
2017,The former Yugoslav Republic of Macedonia,0.87
2017,Serbia,0.35
2017,Botswana,0.00
2017,Canada,0.70
2017,Equatorial Guinea,0.94
2017,Trinidad and Tobago,0.40
2017,Nicaragua,0.67
2017,Bahrain,0.18
2017,Sri Lanka,0.75
2017,Maldives,0.37
2017,Mauritius,0.67
2017,Iraq,0.89
2017,Saint Vincent and the Grenadines,0.08
2017,Iran (Islamic Republic of),0.07
2017,Niue,0.71
2017,Finland,0.65
2016,Afghanistan,0.53
2016,Chad,0.59
2016,South Sudan,0.72
2016,Bolivia (Plurinational State of),0.60
2016,Viet Nam,0.09
2016,Côte d’Ivoire,0.52
2016,Congo,0.22
2016,Egypt,0.73
2016,Senegal,0.27
2016,Togo,0.61
2016,Algeria,0.90
2016,Ukraine,0.40
2016,Gabon,0.82
2016,Bangladesh,0.54
2016,Guinea-Bissau,0.87
2016,Zimbabwe,0.73
2016,Yemen,0.58
2016,Mongolia,0.29
2016,Kenya,0.36
2016,Myanmar,0.83
2016,Namibia,0.31
2016,Uzbekistan,0.80
2016,Nepal,0.94
2016,South Africa,0.71
2016,Belarus,0.31
2016,Haiti,0.33
2016,Mexico,0.12
2016,Azerbaijan,0.76
2016,Tajikistan,0.41
2016,Peru,0.99
2016,India,0.97
2016,Turkey,0.47
2016,Zambia,0.16
2016,Philippines,0.99
2016,Singapore,0.80
2016,Eritrea,0.55
2016,Ecuador,0.78
2016,Guyana,0.29
2016,Colombia,0.67
2016,Bulgaria,0.77
2016,Malaysia,0.58
2016,Qatar,0.92
2016,Morocco,0.80
2016,United States of America,0.16
2016,Rwanda,0.12
2016,Albania,0.65
2016,Jordan,0.97
2016,Sao Tome and Principe,0.41
2016,Saudi Arabia,0.76
2016,United Arab Emirates,0.05
2016,Liberia,0.14
2016,Georgia,0.21
2016,Portugal,0.73
2016,El Salvador,0.13
2016,Mozambique,0.14
2016,Chile,0.29
2016,Romania,0.10
2016,Tonga,0.51
2016,Uganda,0.13
2016,Cambodia,0.64
2016,Kyrgyzstan,0.03
2016,Thailand,0.49
2016,Norway,0.28
2016,Greece,0.08
2016,Armenia,0.35
2016,Paraguay,0.37
2016,Guatemala,0.94
2016,Brazil,0.16
2016,Niger,0.21
2016,Costa Rica,0.48
2016,Argentina,0.83
2016,Dominican Republic,0.96
2016,Republic of Korea,0.17
2016,Grenada,0.47
2016,Samoa,0.39
2016,Estonia,0.55
2016,Saint Lucia,0.18
2016,Seychelles,0.81
2016,Belize,0.76
2016,Syrian Arab Republic,0.94
2016,Pakistan,0.37
2016,Ghana,0.28
2016,Brunei Darussalam,0.52
2016,Vanuatu,0.31
2016,Panama,0.21
2016,Cuba,0.90
2016,Iceland,0.21
2016,Croatia,0.70
2016,Poland,0.59
2016,Fiji,0.14
2016,Bhutan,0.18
2016,Ireland,0.99
2016,Lithuania,0.32
2016,Monaco,0.15
2016,Cook Islands,0.02
2016,Slovenia,0.28
2016,Timor-Leste,0.94
2016,Japan,0.01
2016,Hungary,0.43
2016,Nauru,0.48
2015,United Republic of Tanzania,0.56
2015,Germany,0.43
2015,Bahamas,0.39
2015,Lebanon,0.65
2015,Cyprus,0.64
2015,Kiribati,0.72
2015,Republic of Moldova,0.67
2015,Bosnia and Herzegovina,0.12
2015,Czechia,0.16
2015,Spain,0.28
2015,Russian Federation,0.73
2015,Latvia,0.87
2015,Luxembourg,0.04
2015,Austria,0.92
2015,Italy,0.93
2015,Barbados,0.10
2015,Jamaica,0.31
2014,Honduras,0.22
2013,Mauritania,0.90
