type,year,country,cost,diagnoses_count,patient_count
mental hospital,2017,Ethiopia,14,50,35
mental hospital,2017,Sri Lanka,11,95,24
mental hospital,2017,Iraq,6,82,28
mental hospital,2017,Somalia,32,89,47
mental hospital,2017,Tunisia,3,66,4
mental hospital,2017,Burundi,41,89,26
mental hospital,2017,Sierra Leone,13,93,60
mental hospital,2017,Nicaragua,49,93,74
mental hospital,2017,Iran (Islamic Republic of),35,78,69
mental hospital,2017,Canada,36,62,57
mental hospital,2017,Trinidad and Tobago,29,80,46
mental hospital,2017,Eswatini,18,53,4
mental hospital,2017,Mauritius,27,55,68
mental hospital,2017,Serbia,37,59,20
mental hospital,2017,Equatorial Guinea,35,51,71
mental hospital,2017,Botswana,6,89,38
mental hospital,2017,The former Yugoslav Republic of Macedonia,17,59,59
mental hospital,2017,Bahrain,14,54,16
mental hospital,2017,Saint Vincent and the Grenadines,13,62,2
mental hospital,2016,Tonga,21,96,18
mental hospital,2016,Bangladesh,13,57,15
mental hospital,2016,Philippines,32,50,0
mental hospital,2016,Kenya,47,56,67
mental hospital,2016,Uganda,48,96,44
mental hospital,2016,Afghanistan,5,53,0
mental hospital,2016,Myanmar,49,76,14
mental hospital,2016,Guatemala,6,74,4
mental hospital,2016,Pakistan,23,61,14
mental hospital,2016,Mozambique,43,57,60
mental hospital,2016,Senegal,31,63,72
mental hospital,2016,Côte d’Ivoire,3,65,68
mental hospital,2016,India,11,93,59
mental hospital,2016,Peru,49,91,64
mental hospital,2016,Angola,22,79,21
mental hospital,2016,Ghana,6,97,48
mental hospital,2016,United Arab Emirates,5,57,71
mental hospital,2016,Turkey,37,71,27
mental hospital,2016,Malaysia,24,58,38
mental hospital,2016,Togo,10,93,50
mental hospital,2016,Syrian Arab Republic,12,70,10
mental hospital,2016,Rwanda,27,57,16
mental hospital,2016,Singapore,9,63,3
mental hospital,2016,Egypt,27,73,20
mental hospital,2016,Haiti,42,74,36
mental hospital,2016,Indonesia,46,72,2
mental hospital,2016,Eritrea,48,61,28
mental hospital,2016,Madagascar,42,86,69
mental hospital,2016,Nepal,46,77,9
mental hospital,2016,Liberia,35,88,43
mental hospital,2016,Chile,39,90,65
mental hospital,2016,Ecuador,33,84,51
mental hospital,2016,Panama,44,52,2
mental hospital,2016,Zimbabwe,29,81,70
mental hospital,2016,Greece,34,82,22
mental hospital,2016,Thailand,5,62,63
mental hospital,2016,Mexico,33,56,42
