type,year,country,avg_stay,cost,unit_count
mental hospital,2017,Ethiopia,217,46,0.002
mental hospital,2017,Sri Lanka,289,45,0.005
mental hospital,2017,Iraq,325,48,0.006
mental hospital,2017,Somalia,25,46,0.007
mental hospital,2017,Tunisia,38,17,0.009
mental hospital,2017,Burundi,318,47,0.01
mental hospital,2017,Sierra Leone,26,7,0.014
mental hospital,2017,Nicaragua,58,20,0.016
mental hospital,2017,Iran (Islamic Republic of),350,32,0.049
mental hospital,2017,Canada,43,47,0.057
mental hospital,2017,Trinidad and Tobago,58,17,0.074
mental hospital,2017,Eswatini,321,28,0.076
mental hospital,2017,Mauritius,143,0,0.079
mental hospital,2017,Serbia,271,49,0.079
mental hospital,2017,Equatorial Guinea,236,14,0.085
mental hospital,2017,Botswana,132,19,0.091
mental hospital,2017,The former Yugoslav Republic of Macedonia,146,27,0.14
mental hospital,2017,Bahrain,0,20,0.15
mental hospital,2017,Saint Vincent and the Grenadines,10,20,0.91
mental hospital,2016,Tonga,124,44,0
mental hospital,2016,Bangladesh,0,21,0.001
mental hospital,2016,Philippines,72,22,0.001
mental hospital,2016,Kenya,0,37,0.002
mental hospital,2016,Uganda,64,39,0.002
mental hospital,2016,Afghanistan,272,22,0.003
mental hospital,2016,Myanmar,70,11,0.004
mental hospital,2016,Guatemala,314,47,0.006
mental hospital,2016,Pakistan,78,1,0.006
mental hospital,2016,Mozambique,12,10,0.007
mental hospital,2016,Senegal,14,2,0.007
mental hospital,2016,Côte d’Ivoire,3,49,0.009
mental hospital,2016,India,150,12,0.01
mental hospital,2016,Peru,178,36,0.01
mental hospital,2016,Angola,260,36,0.011
mental hospital,2016,Ghana,333,14,0.011
mental hospital,2016,United Arab Emirates,156,47,0.011
mental hospital,2016,Turkey,6,45,0.012
mental hospital,2016,Malaysia,232,16,0.013
mental hospital,2016,Togo,43,17,0.013
mental hospital,2016,Syrian Arab Republic,211,27,0.016
mental hospital,2016,Rwanda,241,21,0.017
mental hospital,2016,Singapore,200,19,0.018
mental hospital,2016,Egypt,85,3,0.019
mental hospital,2016,Haiti,98,32,0.019
mental hospital,2016,Indonesia,256,0,0.019
mental hospital,2016,Eritrea,204,13,0.021
mental hospital,2016,Madagascar,45,37,0.021
mental hospital,2016,Nepal,233,28,0.021
mental hospital,2016,Liberia,223,1,0.022
mental hospital,2016,Chile,85,37,0.023
mental hospital,2016,Ecuador,321,41,0.025
mental hospital,2016,Panama,166,34,0.025
mental hospital,2016,Zimbabwe,307,8,0.025
mental hospital,2016,Greece,310,48,0.027
mental hospital,2016,Thailand,121,18,0.028
mental hospital,2016,Mexico,85,29,0.029
mental hospital,2016,Portugal,327,15,0.029
mental hospital,2016,Paraguay,273,3,0.03
mental hospital,2016,El Salvador,323,10,0.032
mental hospital,2016,Libya,231,7,0.032
mental hospital,2016,Morocco,339,20,0.032
mental hospital,2016,Yemen,36,31,0.033
mental hospital,2016,Mongolia,58,3,0.034
mental hospital,2016,Tajikistan,162,11,0.035
mental hospital,2016,Qatar,19,24,0.038
mental hospital,2016,Costa Rica,104,17,0.042
mental hospital,2016,Viet Nam,339,21,0.043
mental hospital,2016,Algeria,39,7,0.048
mental hospital,2016,Gabon,305,40,0.052
mental hospital,2016,Jordan,118,15,0.055
mental hospital,2016,Guinea-Bissau,333,27,0.056
mental hospital,2016,Zambia,116,14,0.062
mental hospital,2016,Albania,71,2,0.068
mental hospital,2016,Brazil,210,37,0.069
mental hospital,2016,Bolivia (Plurinational State of),135,11,0.075
mental hospital,2016,Saudi Arabia,163,2,0.079
mental hospital,2016,Uzbekistan,220,5,0.081
mental hospital,2016,Kyrgyzstan,126,49,0.085
mental hospital,2016,Azerbaijan,103,24,0.11
mental hospital,2016,Fiji,64,20,0.11
mental hospital,2016,South Africa,200,45,0.12
mental hospital,2016,Guyana,43,49,0.13
