year,country,mental_health_allocation
2017,Somalia,0.20
2017,Burundi,0.22
2017,Sierra Leone,0.29
2017,Ethiopia,0.72
2017,The former Yugoslav Republic of Macedonia,0.86
2017,Serbia,0.15
2017,Botswana,0.25
2017,Canada,0.50
2017,Equatorial Guinea,0.71
2017,Trinidad and Tobago,0.64
2017,Nicaragua,0.22
2017,Bahrain,0.16
2017,Sri Lanka,0.53
2017,Maldives,0.97
2017,Mauritius,0.48
2017,Iraq,0.52
2017,Saint Vincent and the Grenadines,0.52
2017,Iran (Islamic Republic of),0.58
2017,Niue,0.24
2017,Finland,0.29
2016,Afghanistan,0.09
2016,Chad,0.58
2016,South Sudan,0.06
2016,Bolivia (Plurinational State of),0.16
2016,Viet Nam,0.39
2016,Côte d’Ivoire,0.56
2016,Congo,0.80
2016,Egypt,0.23
2016,Senegal,0.40
2016,Togo,0.86
2016,Algeria,0.07
2016,Ukraine,0.38
2016,Gabon,0.19
2016,Bangladesh,0.92
2016,Guinea-Bissau,0.86
2016,Zimbabwe,0.38
2016,Yemen,0.19
2016,Mongolia,0.68
2016,Kenya,0.97
2016,Myanmar,0.40
2016,Namibia,0.09
2016,Uzbekistan,0.06
2016,Nepal,0.97
2016,South Africa,0.67
2016,Belarus,0.51
2016,Haiti,0.39
2016,Mexico,0.70
2016,Azerbaijan,0.46
2016,Tajikistan,0.24
2016,Peru,0.55
2016,India,0.10
2016,Turkey,0.11
2016,Zambia,0.09
2016,Philippines,0.12
2016,Singapore,0.67
2016,Eritrea,0.44
2016,Ecuador,0.63
2016,Guyana,0.11
2016,Colombia,0.72
2016,Bulgaria,0.74
2016,Malaysia,0.32
2016,Qatar,0.01
2016,Morocco,0.12
2016,United States of America,0.91
2016,Rwanda,0.18
2016,Albania,0.77
2016,Jordan,0.28
2016,Sao Tome and Principe,0.84
2016,Saudi Arabia,0.82
2016,United Arab Emirates,0.98
2016,Liberia,0.10
2016,Georgia,0.60
2016,Portugal,0.35
2016,El Salvador,0.77
2016,Mozambique,0.49
2016,Chile,0.76
2016,Romania,0.32
2016,Tonga,0.85
2016,Uganda,0.14
2016,Cambodia,0.29
2016,Kyrgyzstan,0.47
2016,Thailand,0.08
2016,Norway,0.36
2016,Greece,0.95
2016,Armenia,0.34
2016,Paraguay,0.78
2016,Guatemala,0.37
2016,Brazil,0.32
2016,Niger,0.57
2016,Costa Rica,0.74
2016,Argentina,0.49
2016,Dominican Republic,0.91
2016,Republic of Korea,0.10
2016,Grenada,0.72
2016,Samoa,0.65
2016,Estonia,0.31
2016,Saint Lucia,0.57
2016,Seychelles,0.46
2016,Belize,0.10
2016,Syrian Arab Republic,0.26
2016,Pakistan,0.42
2016,Ghana,0.51
2016,Brunei Darussalam,0.16
2016,Vanuatu,0.72
2016,Panama,0.27
2016,Cuba,0.84
2016,Iceland,0.80
2016,Croatia,0.76
2016,Poland,0.00
2016,Fiji,0.75
2016,Bhutan,0.72
2016,Ireland,0.75
2016,Lithuania,0.05
2016,Monaco,0.92
2016,Cook Islands,0.30
2016,Slovenia,0.79
2016,Timor-Leste,0.70
2016,Japan,0.99
2016,Hungary,0.60
2016,Nauru,0.78
2015,United Republic of Tanzania,0.04
2015,Germany,0.33
2015,Bahamas,0.49
2015,Lebanon,0.68
2015,Cyprus,0.19
2015,Kiribati,0.34
2015,Republic of Moldova,0.31
2015,Bosnia and Herzegovina,0.21
2015,Czechia,0.21
2015,Spain,0.95
2015,Russian Federation,0.08
2015,Latvia,0.47
2015,Luxembourg,0.68
2015,Austria,0.27
2015,Italy,0.25
2015,Barbados,0.17
2015,Jamaica,0.03
2014,Honduras,0.06
2013,Mauritania,0.47
